theta_deg	R_normalised
1.39475	0.000101835
1.39625	8.37675e-05
1.39775	8.37675e-05
1.39925	7.71975e-05
1.40075	0.00011826
1.40225	0.000123187
1.40375	0.000149468
1.40525	0.000218453
1.40675	0.000205313
1.40825	0.000228308
1.40975	0.000272655
1.41125	0.000333427
1.41275	0.000313718
1.41425	0.00034164
1.41575	0.000336712
1.41725	0.000415552
1.41875	0.000395843
1.42025	0.000353138
1.42175	0.000379417
1.42325	0.00034821
1.42475	0.00023652
1.42625	0.000259515
1.42775	0.000226665
1.42925	0.000198743
1.43075	0.00013797
1.43225	0.000136328
1.43375	0.000129758
1.43525	9.36225e-05
1.43675	7.5555e-05
1.43825	7.5555e-05
1.43975	7.227e-05
1.44125	9.5265e-05
1.44275	0.00010512
1.44425	0.000147825
1.44575	0.000195457
1.44725	0.0002628
1.44875	0.000233235
1.45025	0.000298935
1.45175	0.0003285
1.45325	0.000353138
1.45475	0.000358065
1.45625	0.000412267
1.45775	0.000412267
1.45925	0.000417195
1.46075	0.00037449
1.46225	0.000364635
1.46375	0.000323573
1.46525	0.000264442
1.46675	0.000259515
1.46825	0.000221738
1.46975	0.00017082
1.47125	0.00015111
1.47275	0.000129758
1.47425	0.000126472
1.47575	9.69075e-05
1.47725	9.198e-05
1.47875	9.03375e-05
1.48025	0.00011826
1.48175	0.000114975
1.48325	0.000128115
1.48475	0.00017739
1.48625	0.00021024
1.48775	0.000234878
1.48925	0.00030222
1.49075	0.000338355
1.49225	0.000390915
1.49375	0.00045333
1.49525	0.00042705
1.49675	0.000428693
1.49825	0.0003942
1.49975	0.000366277
1.50125	0.00040077
1.50275	0.000399127
1.50425	0.000331785
1.50575	0.000336712
1.50725	0.000241448
1.50875	0.000239805
1.51025	0.000162607
1.51175	0.000192172
1.51325	0.00014454
1.51475	0.000121545
1.51625	0.000116617
1.51775	7.5555e-05
1.51925	9.855e-05
1.52075	0.000108405
1.52225	0.000149468
1.52375	0.00020367
1.52525	0.000220095
1.52675	0.00029565
1.52825	0.000331785
1.52975	0.000379417
1.53125	0.00049275
1.53275	0.000522315
1.53425	0.000477967
1.53575	0.000530527
1.53725	0.000569948
1.53875	0.000573233
1.54025	0.000586373
1.54175	0.000528885
1.54325	0.000510818
1.54475	0.00047304
1.54625	0.000397485
1.54775	0.0003942
1.54925	0.000323573
1.55075	0.000292365
1.55225	0.00025623
1.55375	0.00016425
1.55525	0.000162607
1.55675	0.000154395
1.55825	0.000169178
1.55975	0.00018396
1.56125	0.000220095
1.56275	0.000298935
1.56425	0.000338355
1.56575	0.00044676
1.56725	0.00055845
1.56875	0.000693135
1.57025	0.000837675
1.57175	0.00094608
1.57325	0.00104791
1.57475	0.00106927
1.57625	0.0011054
1.57775	0.00119902
1.57925	0.00125487
1.58075	0.00121874
1.58225	0.00117603
1.58375	0.00115468
1.58525	0.00114975
1.58675	0.0010397
1.58825	0.000947723
1.58975	0.00084753
1.59125	0.000730913
1.59275	0.00059787
1.59425	0.000523957
1.59575	0.000438547
1.59725	0.000509175
1.59875	0.00049275
1.60025	0.000543667
1.60175	0.000647145
1.60325	0.000905018
1.60475	0.00116125
1.60625	0.00154724
1.60775	0.0019053
1.60925	0.00254752
1.61075	0.00316674
1.61225	0.00380896
1.61375	0.00445939
1.61525	0.0052133
1.61675	0.0058473
1.61825	0.00692806
1.61975	0.00759985
1.62125	0.00835868
1.62275	0.00936225
1.62425	0.0102738
1.62575	0.0106746
1.62725	0.0111821
1.62875	0.0117291
1.63025	0.0123779
1.63175	0.0128871
1.63325	0.013296
1.63475	0.0135506
1.63625	0.0134701
1.63775	0.013324
1.63925	0.0133256
1.64075	0.0127474
1.64225	0.0123795
1.64375	0.0118753
1.64525	0.0115336
1.64675	0.0109489
1.64825	0.0103839
1.64975	0.00930148
1.65125	0.0086609
1.65275	0.00782487
1.65425	0.00718758
1.65575	0.00650923
1.65725	0.00570933
1.65875	0.00512131
1.66025	0.00444132
1.66175	0.00367592
1.66325	0.00298935
1.66475	0.00253438
1.66625	0.00210897
1.66775	0.00168028
1.66925	0.00128936
1.67075	0.00101835
1.67225	0.000804825
1.67375	0.000522315
1.67525	0.000397485
1.67675	0.00031536
1.67825	0.00017739
1.67975	0.000200385
1.68125	0.00015768
1.68275	0.000146183
1.68425	0.000119903
1.68575	0.00024309
1.68725	0.00019053
1.68875	0.000182317
1.69025	0.000290722
1.69175	0.0002628
1.69325	0.000298935
1.69475	0.000320288
1.69625	0.000305505
1.69775	0.00028251
1.69925	0.000305505
1.70075	0.00023652
1.70225	0.00022995
1.70375	0.000228308
1.70525	0.000193815
1.70675	0.000149468
1.70825	0.00014454
1.70975	0.000108405
1.71125	9.69075e-05
1.71275	8.8695e-05
1.71425	7.06275e-05
1.71575	5.74875e-05
1.71725	4.2705e-05
1.71875	6.07725e-05
1.72025	6.07725e-05
1.72175	5.42025e-05
1.72325	5.256e-05
1.72475	5.913e-05
1.72625	7.71975e-05
1.72775	7.5555e-05
1.72925	5.5845e-05
1.73075	8.2125e-05
